Date,Value
1821-12-31,269.0
1822-12-31,321.0
1823-12-31,585.0
1824-12-31,871.0
1825-12-31,1475.0
1826-12-31,2821.0
1827-12-31,3928.0
1828-12-31,5943.0
1829-12-31,4950.0
1830-12-31,2577.0
1831-12-31,523.0
1832-12-31,98.0
1833-12-31,184.0
1834-12-31,279.0
1835-12-31,409.0
1836-12-31,2285.0
1837-12-31,2685.0
1838-12-31,3409.0
1839-12-31,1824.0
1840-12-31,409.0
1841-12-31,151.0
1842-12-31,45.0
1843-12-31,68.0
1844-12-31,213.0
1845-12-31,546.0
1846-12-31,1033.0
1847-12-31,2129.0
1848-12-31,2536.0
1849-12-31,957.0
1850-12-31,361.0
1851-12-31,377.0
1852-12-31,225.0
1853-12-31,360.0
1854-12-31,731.0
1855-12-31,1638.0
1856-12-31,2725.0
1857-12-31,2871.0
1858-12-31,2119.0
1859-12-31,684.0
1860-12-31,299.0
1861-12-31,236.0
1862-12-31,245.0
1863-12-31,552.0
1864-12-31,1623.0
1865-12-31,3311.0
1866-12-31,6721.0
1867-12-31,4254.0
1868-12-31,687.0
1869-12-31,255.0
1870-12-31,473.0
1871-12-31,358.0
1872-12-31,784.0
1873-12-31,1594.0
1874-12-31,1676.0
1875-12-31,2251.0
1876-12-31,1426.0
1877-12-31,756.0
1878-12-31,299.0
1879-12-31,201.0
1880-12-31,229.0
1881-12-31,469.0
1882-12-31,736.0
1883-12-31,2042.0
1884-12-31,2811.0
1885-12-31,4431.0
1886-12-31,2511.0
1887-12-31,389.0
1888-12-31,73.0
1889-12-31,39.0
1890-12-31,49.0
1891-12-31,59.0
1892-12-31,188.0
1893-12-31,377.0
1894-12-31,1292.0
1895-12-31,4031.0
1896-12-31,3495.0
1897-12-31,587.0
1898-12-31,105.0
1899-12-31,153.0
1900-12-31,387.0
1901-12-31,758.0
1902-12-31,1307.0
1903-12-31,3465.0
1904-12-31,6991.0
1905-12-31,6313.0
1906-12-31,3794.0
1907-12-31,1836.0
1908-12-31,345.0
1909-12-31,382.0
1910-12-31,808.0
1911-12-31,1388.0
1912-12-31,2713.0
1913-12-31,3800.0
1914-12-31,3091.0
1915-12-31,2985.0
1916-12-31,3790.0
1917-12-31,674.0
1918-12-31,81.0
1919-12-31,80.0
1920-12-31,108.0
1921-12-31,229.0
1922-12-31,399.0
1923-12-31,1132.0
1924-12-31,2432.0
1925-12-31,3574.0
1926-12-31,2935.0
1927-12-31,1537.0
1928-12-31,529.0
1929-12-31,485.0
1930-12-31,662.0
1931-12-31,1000.0
1932-12-31,1590.0
1933-12-31,2657.0
1934-12-31,3396.0
