date,count,temperature,humidity,windspeed
2022-01-01,351,-7.7,41.7,24.6
2022-01-02,510,-10.8,53.0,13.2
2022-01-03,473,-4.1,51.2,21.1
2022-01-04,919,-3.7,44.8,20.5
2022-01-05,611,-6.3,39.6,20.0
2022-01-06,242,-4.5,50.8,24.4
2022-01-07,1618,-1.1,49.5,4.7
2022-01-08,1318,-2.7,61.4,18.1
2022-01-09,1480,-3.5,53.0,13.4
2022-01-10,856,-3.4,43.5,13.3
2022-01-11,191,-7.2,46.6,23.5
2022-01-12,977,-2.6,52.5,12.1
2022-01-13,302,-9.0,61.1,11.4
2022-01-14,686,-5.6,43.5,22.9
2022-01-15,1107,-5.8,55.8,3.5
2022-01-16,50,-8.9,64.9,23.7
2022-01-17,1116,-4.8,42.3,9.1
2022-01-18,592,-0.3,66.6,26.9
2022-01-19,668,-5.1,50.5,10.9
2022-01-20,467,-7.2,55.0,19.1
2022-01-21,634,-4.3,51.3,17.5
2022-01-22,1234,-1.8,59.2,16.3
2022-01-23,931,-3.3,60.7,18.9
2022-01-24,769,-3.6,61.3,15.6
2022-01-25,50,-7.0,80.7,22.5
2022-01-26,866,-2.1,36.8,19.6
2022-01-27,1317,-2.0,53.7,4.9
2022-01-28,1386,0.3,47.3,0.6
2022-01-29,1294,0.8,56.9,29.6
2022-01-30,1913,-1.1,53.1,1.6
2022-01-31,554,-6.7,57.2,16.0
2022-02-01,477,-6.0,59.5,11.8
2022-02-02,718,-5.0,55.2,11.6
2022-02-03,909,-1.4,68.2,10.0
2022-02-04,130,-3.9,48.5,28.3
2022-02-05,1031,1.5,56.8,21.4
2022-02-06,1797,-1.0,61.8,8.8
2022-02-07,529,-0.5,73.3,19.7
2022-02-08,1157,0.6,51.1,16.7
2022-02-09,907,-0.2,52.3,27.6
2022-02-10,500,-4.4,67.3,16.0
2022-02-11,1800,5.4,64.0,5.0
2022-02-12,1306,3.1,51.7,26.0
2022-02-13,990,3.5,73.6,26.6
2022-02-14,655,-2.0,66.5,27.1
2022-02-15,440,-4.6,62.0,20.2
2022-02-16,682,-3.5,62.3,3.6
2022-02-17,788,-2.2,66.2,8.4
2022-02-18,1261,2.9,62.7,13.1
2022-02-19,1715,3.1,68.8,15.9
2022-02-20,1651,4.7,69.2,12.2
2022-02-21,1745,6.7,57.7,18.2
2022-02-22,1195,2.8,54.1,7.6
2022-02-23,1040,2.6,80.6,11.0
2022-02-24,1249,1.0,63.3,9.5
2022-02-25,900,1.3,82.3,13.1
2022-02-26,1409,-0.5,69.6,4.4
2022-02-27,1659,3.9,46.7,26.7
2022-02-28,1188,3.6,71.3,7.8
2022-03-01,1196,2.0,62.1,10.1
2022-03-02,1102,1.2,51.1,17.0
2022-03-03,1153,4.6,69.8,9.2
2022-03-04,1414,7.0,60.9,20.2
2022-03-05,1511,4.2,68.7,20.0
2022-03-06,1435,4.9,80.1,20.6
2022-03-07,1477,3.1,77.4,9.5
2022-03-08,1300,4.0,71.7,9.0
2022-03-09,1493,4.1,72.2,11.9
2022-03-10,1421,4.4,72.5,11.1
2022-03-11,1200,3.9,66.5,14.1
2022-03-12,1673,6.6,63.9,15.7
2022-03-13,2468,9.1,68.7,14.0
2022-03-14,954,3.7,73.8,11.2
2022-03-15,1703,9.8,66.3,21.4
2022-03-16,1170,5.5,71.1,22.0
2022-03-17,1432,5.9,73.4,19.7
2022-03-18,850,1.6,65.8,18.1
2022-03-19,671,1.2,82.3,17.3
2022-03-20,1682,9.4,84.5,24.7
2022-03-21,1496,5.0,75.7,11.1
2022-03-22,2153,10.0,66.6,6.9
2022-03-23,1769,8.4,58.6,13.5
2022-03-24,1791,9.1,54.2,14.3
2022-03-25,1768,12.1,84.6,12.6
2022-03-26,2222,8.8,76.9,12.9
2022-03-27,1084,1.0,70.6,13.1
2022-03-28,1346,5.1,63.4,16.5
2022-03-29,2046,12.1,74.4,10.3
2022-03-30,2494,14.9,83.6,8.3
2022-03-31,1598,9.9,78.7,14.1
2022-04-01,1366,8.6,67.8,17.8
2022-04-02,2032,7.2,100.0,13.6
2022-04-03,2728,12.2,81.0,6.9
2022-04-04,1687,6.6,66.5,14.6
2022-04-05,1454,8.2,80.2,11.3
2022-04-06,1394,11.9,80.5,17.7
2022-04-07,1779,12.1,83.4,11.9
2022-04-08,1833,11.4,80.5,14.6
2022-04-09,2745,14.9,67.5,20.6
2022-04-10,2235,9.4,81.0,15.8
2022-04-11,1561,9.7,71.4,14.5
2022-04-12,1844,11.9,79.2,13.4
2022-04-13,1732,13.3,77.8,10.1
2022-04-14,1461,12.6,83.9,18.4
2022-04-15,2463,18.6,80.4,6.5
2022-04-16,2519,12.3,75.9,11.1
2022-04-17,2965,15.6,100.0,8.8
2022-04-18,1902,12.8,76.1,18.0
2022-04-19,1909,15.3,75.9,29.0
2022-04-20,1760,13.6,82.8,7.4
2022-04-21,1807,13.9,83.1,19.3
2022-04-22,2048,19.2,87.2,14.8
2022-04-23,2449,14.5,67.3,27.7
2022-04-24,3666,19.8,74.7,0.1
2022-04-25,2041,13.9,88.4,9.7
2022-04-26,2006,14.8,81.6,18.8
2022-04-27,2304,18.9,81.8,15.5
2022-04-28,1446,10.1,67.7,18.0
2022-04-29,2093,12.3,67.6,4.3
2022-04-30,2679,16.8,72.6,13.5
2022-05-01,2856,18.1,81.2,11.4
2022-05-02,1717,18.5,85.8,28.6
2022-05-03,2098,16.4,86.7,17.8
2022-05-04,1580,13.8,63.9,18.0
2022-05-05,2926,19.7,78.8,13.9
2022-05-06,2008,18.9,79.9,24.7
2022-05-07,2654,15.1,75.9,16.3
2022-05-08,2747,18.3,76.0,17.8
2022-05-09,2818,22.8,70.4,9.6
2022-05-10,2090,18.8,76.2,21.5
2022-05-11,1926,15.6,59.7,21.2
2022-05-12,2552,17.7,89.5,8.7
2022-05-13,2344,18.0,80.6,10.4
2022-05-14,2901,19.9,90.9,17.5
2022-05-15,3325,21.5,72.1,14.0
2022-05-16,3078,17.0,64.6,9.5
2022-05-17,1975,17.8,93.4,16.1
2022-05-18,2770,22.2,60.7,19.4
2022-05-19,2908,21.6,68.3,15.1
2022-05-20,2526,23.3,84.6,12.3
2022-05-21,2342,16.3,89.8,17.6
2022-05-22,2799,17.7,72.5,13.8
2022-05-23,2827,22.8,76.3,13.2
2022-05-24,2337,18.0,75.7,17.8
2022-05-25,2457,21.3,82.2,23.8
2022-05-26,2146,20.4,70.4,23.5
2022-05-27,2292,18.8,82.5,16.6
2022-05-28,3528,24.5,84.7,13.6
2022-05-29,3406,20.8,76.4,15.6
2022-05-30,1845,19.7,77.9,17.1
2022-05-31,2569,20.7,95.9,19.6
2022-06-01,2490,21.8,79.4,14.2
2022-06-02,2446,17.2,73.3,15.2
2022-06-03,2068,19.1,85.4,17.4
2022-06-04,3199,18.1,86.3,9.2
2022-06-05,2751,16.1,70.4,15.1
2022-06-06,2720,24.0,68.0,17.0
2022-06-07,2928,25.2,87.7,20.1
2022-06-08,3049,24.7,85.6,17.0
2022-06-09,2058,17.2,86.2,11.7
2022-06-10,2732,22.7,88.8,7.6
2022-06-11,3564,23.5,65.7,10.1
2022-06-12,4120,20.4,61.6,6.5
2022-06-13,3119,23.9,82.9,7.9
2022-06-14,2633,19.0,82.2,10.1
2022-06-15,2310,19.2,75.6,11.3
2022-06-16,2379,19.8,80.0,18.0
2022-06-17,2561,20.1,67.6,13.1
2022-06-18,3243,19.4,65.3,13.5
2022-06-19,3725,24.4,72.4,15.6
2022-06-20,2739,19.3,76.5,9.6
2022-06-21,3012,20.8,77.8,6.7
2022-06-22,2784,20.4,71.6,10.6
2022-06-23,3528,27.6,77.1,8.1
2022-06-24,2183,19.7,81.8,23.8
2022-06-25,3210,23.2,75.6,23.8
2022-06-26,4180,26.6,67.5,14.3
2022-06-27,2289,18.9,84.9,17.0
2022-06-28,2376,19.8,61.4,24.0
2022-06-29,2641,21.0,72.2,23.7
2022-06-30,2287,18.5,85.7,21.4
2022-07-01,2647,24.9,89.9,19.6
2022-07-02,2888,20.5,82.8,22.2
2022-07-03,4236,24.4,66.0,8.4
2022-07-04,3480,23.0,54.8,2.5
2022-07-05,2851,21.7,65.0,10.0
2022-07-06,2643,24.0,68.2,17.7
2022-07-07,2424,20.7,69.3,9.4
2022-07-08,3421,24.1,59.8,12.2
2022-07-09,3238,18.0,63.5,14.9
2022-07-10,3269,19.4,69.2,14.5
2022-07-11,3310,24.2,67.6,8.3
2022-07-12,2532,15.8,77.3,13.6
2022-07-13,2380,22.2,71.2,20.4
2022-07-14,2748,19.9,71.0,18.6
2022-07-15,2860,19.5,61.5,14.9
2022-07-16,3604,19.0,66.2,13.7
2022-07-17,3577,23.9,49.6,23.8
2022-07-18,2067,16.7,61.6,25.0
2022-07-19,3240,22.5,51.7,8.9
2022-07-20,2897,21.5,65.4,11.1
2022-07-21,2612,19.1,68.3,11.8
2022-07-22,2678,19.9,64.6,18.5
2022-07-23,3595,21.7,75.5,14.8
2022-07-24,3231,18.3,57.4,12.9
2022-07-25,1729,15.9,61.8,24.8
2022-07-26,2606,20.3,57.7,17.7
2022-07-27,2600,17.3,59.3,9.8
2022-07-28,2181,18.3,72.1,15.0
2022-07-29,2542,19.3,50.0,14.2
2022-07-30,2663,20.8,74.1,24.0
2022-07-31,4052,23.4,71.4,3.4
2022-08-01,2250,19.6,64.9,14.6
2022-08-02,2726,18.8,57.0,16.0
2022-08-03,2403,20.4,61.4,22.3
2022-08-04,2643,18.9,55.9,14.9
2022-08-05,2328,13.8,70.6,19.5
2022-08-06,3069,16.4,49.4,19.7
2022-08-07,3051,14.6,50.2,4.5
2022-08-08,2942,19.3,58.1,11.4
