date,price_eur_mwh
2021-01-01,49.67
2021-01-02,15.08
2021-01-03,40.98
2021-01-04,74.99
2021-01-05,79.2
2021-01-06,64.95
2021-01-07,66.1
2021-01-08,76.66
2021-01-09,37.31
2021-01-10,48.88
2021-01-11,59.9
2021-01-12,50.69
2021-01-13,49.69
2021-01-14,63.38
2021-01-15,66.76
2021-01-16,57.62
2021-01-17,19.62
2021-01-18,48.11
2021-01-19,62.71
2021-01-20,61.03
2021-01-21,68.87
2021-01-22,71.56
2021-01-23,64.38
2021-01-24,53.07
2021-01-25,65.32
2021-01-26,88.37
2021-01-27,105.89
2021-01-28,77.67
2021-01-29,58.35
2021-01-30,81.83
2021-01-31,60.67
2021-02-01,71.82
2021-02-02,61.89
2021-02-03,65.36
2021-02-04,55.21
2021-02-05,67.37
2021-02-06,32.84
2021-02-07,47.26
2021-02-08,64.4
2021-02-09,61.02
2021-02-10,68.18
2021-02-11,76.67
2021-02-12,77.28
2021-02-13,60.5
2021-02-14,67.22
2021-02-15,58.15
2021-02-16,72.79
2021-02-17,65.69
2021-02-18,100.11
2021-02-19,90.87
2021-02-20,81.55
2021-02-21,70.77
2021-02-22,52.74
2021-02-23,67.19
2021-02-24,58.46
2021-02-25,57.17
2021-02-26,67.29
2021-02-27,51.44
2021-02-28,43.14
2021-03-01,47.22
2021-03-02,89.52
2021-03-03,82.12
2021-03-04,74.4
2021-03-05,66.45
2021-03-06,45.29
2021-03-07,24.19
2021-03-08,66.86
2021-03-09,61.37
2021-03-10,52.07
2021-03-11,65.08
2021-03-12,58.51
2021-03-13,58.05
2021-03-14,54.76
2021-03-15,90.73
2021-03-16,66.73
2021-03-17,103.83
2021-03-18,69.35
2021-03-19,65.7
2021-03-20,47.92
2021-03-21,27.97
2021-03-22,58.19
2021-03-23,73.56
2021-03-24,83.97
2021-03-25,92.48
2021-03-26,73.54
2021-03-27,82.82
2021-03-28,67.39
2021-03-29,61.87
2021-03-30,64.29
2021-03-31,66.11
2021-04-01,76.4
2021-04-02,40.68
2021-04-03,57.1
2021-04-04,58.53
2021-04-05,76.84
2021-04-06,72.19
2021-04-07,75.99
2021-04-08,72.84
2021-04-09,34.85
2021-04-10,68.08
2021-04-11,62.51
2021-04-12,83.54
2021-04-13,66.17
2021-04-14,76.24
2021-04-15,77.13
2021-04-16,56.25
2021-04-17,56.67
2021-04-18,51.33
2021-04-19,64.2
2021-04-20,65.79
2021-04-21,78.43
2021-04-22,57.5
2021-04-23,55.8
2021-04-24,56.18
2021-04-25,55.08
2021-04-26,72.22
2021-04-27,88.87
2021-04-28,80.25
2021-04-29,62.9
2021-04-30,95.44
2021-05-01,64.4
2021-05-02,74.91
2021-05-03,42.91
2021-05-04,61.45
2021-05-05,66.82
2021-05-06,69.74
2021-05-07,92.72
2021-05-08,72.17
2021-05-09,44.85
2021-05-10,67.44
2021-05-11,71.21
2021-05-12,73.3
