date,sales
2000-01-01,236.5
2000-02-01,236.9
2000-03-01,255.5
2000-04-01,265.8
2000-05-01,271.8
2000-06-01,276.9
2000-07-01,282.9
2000-08-01,289.6
2000-09-01,284.2
2000-10-01,292.2
2000-11-01,299.5
2000-12-01,317.0
2001-01-01,280.8
2001-02-01,275.6
2001-03-01,292.0
2001-04-01,301.1
2001-05-01,310.8
2001-06-01,321.5
2001-07-01,320.2
2001-08-01,324.6
2001-09-01,329.0
2001-10-01,334.4
2001-11-01,344.7
2001-12-01,360.7
2002-01-01,317.0
2002-02-01,318.8
2002-03-01,336.5
2002-04-01,346.4
2002-05-01,355.3
2002-06-01,362.3
2002-07-01,361.1
2002-08-01,374.8
2002-09-01,368.4
2002-10-01,370.9
2002-11-01,384.9
2002-12-01,402.3
2003-01-01,354.6
2003-02-01,348.1
2003-03-01,369.0
2003-04-01,379.8
2003-05-01,394.0
2003-06-01,400.9
2003-07-01,398.9
2003-08-01,404.6
2003-09-01,395.3
2003-10-01,402.2
2003-11-01,413.9
2003-12-01,441.9
2004-01-01,387.5
2004-02-01,379.6
2004-03-01,405.9
2004-04-01,411.9
2004-05-01,421.6
2004-06-01,431.5
2004-07-01,432.5
2004-08-01,440.3
2004-09-01,429.4
2004-10-01,435.2
2004-11-01,447.7
2004-12-01,474.5
2005-01-01,412.5
2005-02-01,409.5
2005-03-01,430.6
2005-04-01,435.3
2005-05-01,451.4
2005-06-01,462.2
2005-07-01,457.6
2005-08-01,466.4
2005-09-01,458.5
2005-10-01,461.6
2005-11-01,474.1
2005-12-01,503.3
2006-01-01,437.9
2006-02-01,438.5
2006-03-01,452.8
2006-04-01,464.3
2006-05-01,475.8
2006-06-01,481.3
2006-07-01,479.1
2006-08-01,479.7
2006-09-01,474.3
2006-10-01,483.8
2006-11-01,500.0
2006-12-01,522.3
2007-01-01,453.6
2007-02-01,449.9
2007-03-01,479.9
2007-04-01,486.6
2007-05-01,495.6
2007-06-01,504.1
2007-07-01,500.5
2007-08-01,509.5
2007-09-01,497.3
2007-10-01,503.1
2007-11-01,514.1
2007-12-01,537.2
2008-01-01,471.8
2008-02-01,469.8
2008-03-01,496.6
2008-04-01,502.4
2008-05-01,510.1
2008-06-01,517.6
2008-07-01,514.7
2008-08-01,520.2
2008-09-01,512.7
2008-10-01,521.7
2008-11-01,539.0
2008-12-01,564.0
2009-01-01,491.7
2009-02-01,486.2
2009-03-01,507.3
2009-04-01,516.3
2009-05-01,529.6
2009-06-01,544.1
2009-07-01,536.1
2009-08-01,542.1
2009-09-01,531.5
2009-10-01,533.9
2009-11-01,550.7
2009-12-01,579.9
2010-01-01,507.0
2010-02-01,497.9
2010-03-01,530.4
2010-04-01,530.8
2010-05-01,545.6
2010-06-01,558.3
2010-07-01,547.6
2010-08-01,552.2
2010-09-01,543.4
2010-10-01,548.6
2010-11-01,556.8
2010-12-01,588.2
2011-01-01,510.7
2011-02-01,509.8
2011-03-01,535.8
2011-04-01,548.5
2011-05-01,556.7
2011-06-01,562.6
2011-07-01,561.2
2011-08-01,563.1
2011-09-01,555.0
2011-10-01,565.8
2011-11-01,571.3
2011-12-01,602.2
2012-01-01,526.2
2012-02-01,523.6
2012-03-01,547.5
2012-04-01,551.3
2012-05-01,567.5
2012-06-01,575.4
2012-07-01,571.2
2012-08-01,578.3
2012-09-01,565.0
2012-10-01,572.9
2012-11-01,585.9
2012-12-01,612.6
2013-01-01,540.1
2013-02-01,534.2
2013-03-01,558.0
2013-04-01,567.3
2013-05-01,576.1
2013-06-01,586.1
2013-07-01,584.0
2013-08-01,586.0
2013-09-01,578.4
2013-10-01,584.8
2013-11-01,598.2
2013-12-01,631.7
2014-01-01,546.9
2014-02-01,538.0
2014-03-01,565.4
2014-04-01,570.9
2014-05-01,585.0
2014-06-01,593.6
2014-07-01,589.3
2014-08-01,597.9
2014-09-01,585.5
2014-10-01,595.7
2014-11-01,604.7
2014-12-01,641.9
2015-01-01,557.8
2015-02-01,546.8
2015-03-01,573.2
2015-04-01,582.6
2015-05-01,594.3
2015-06-01,603.3
2015-07-01,598.6
2015-08-01,603.7
2015-09-01,589.5
2015-10-01,592.5
2015-11-01,606.4
2015-12-01,641.2
2016-01-01,559.1
2016-02-01,549.5
2016-03-01,582.0
2016-04-01,590.2
2016-05-01,599.7
2016-06-01,607.9
2016-07-01,603.0
2016-08-01,606.1
2016-09-01,597.6
2016-10-01,606.1
2016-11-01,621.2
2016-12-01,652.9
2017-01-01,562.7
2017-02-01,555.2
2017-03-01,589.1
2017-04-01,597.3
2017-05-01,610.6
2017-06-01,627.6
2017-07-01,617.4
2017-08-01,623.3
2017-09-01,610.9
2017-10-01,616.1
2017-11-01,625.1
2017-12-01,657.3
2018-01-01,569.1
2018-02-01,563.1
2018-03-01,593.0
2018-04-01,600.7
2018-05-01,620.7
2018-06-01,618.3
2018-07-01,615.9
2018-08-01,617.2
2018-09-01,606.2
2018-10-01,617.8
2018-11-01,629.9
2018-12-01,657.2
2019-01-01,571.3
2019-02-01,569.4
2019-03-01,598.0
2019-04-01,606.3
2019-05-01,619.3
2019-06-01,623.9
2019-07-01,625.6
2019-08-01,631.3
2019-09-01,611.0
2019-10-01,620.0
2019-11-01,631.4
2019-12-01,666.5
2020-01-01,577.6
2020-02-01,572.3
2020-03-01,605.7
2020-04-01,479.9
2020-05-01,547.1
2020-06-01,597.0
2020-07-01,622.4
2020-08-01,628.2
2020-09-01,623.1
2020-10-01,629.0
2020-11-01,636.4
2020-12-01,711.9
2021-01-01,625.7
2021-02-01,619.0
2021-03-01,644.4
2021-04-01,650.5
2021-05-01,668.9
2021-06-01,672.3
2021-07-01,630.1
2021-08-01,638.5
2021-09-01,622.2
2021-10-01,629.3
2021-11-01,632.8
2021-12-01,666.4
2022-01-01,582.5
2022-02-01,575.3
2022-03-01,614.8
2022-04-01,616.2
2022-05-01,629.4
2022-06-01,637.9
2022-07-01,636.8
2022-08-01,637.2
2022-09-01,629.7
2022-10-01,635.2
2022-11-01,644.5
2022-12-01,678.8
2023-01-01,591.6
2023-02-01,583.5
2023-03-01,616.1
2023-04-01,621.8
2023-05-01,635.8
2023-06-01,644.5
2023-07-01,642.4
2023-08-01,642.5
2023-09-01,637.0
2023-10-01,634.7
2023-11-01,648.6
2023-12-01,683.2
2024-01-01,595.5
2024-02-01,586.9
2024-03-01,618.8
2024-04-01,624.6
2024-05-01,636.8
2024-06-01,647.4
2024-07-01,641.8
2024-08-01,645.5
2024-09-01,636.4
2024-10-01,642.9
2024-11-01,657.4
2024-12-01,689.6
