date,value
2014-01-01,979.3
2014-02-01,979.86
2014-03-01,1051.65
2014-04-01,1117.03
2014-05-01,1098.74
2014-06-01,1076.07
2014-07-01,1010.87
2014-08-01,984.55
2014-09-01,942.4
2014-10-01,930.32
2014-11-01,960.92
2014-12-01,978.0
2015-01-01,1031.75
2015-02-01,1093.07
2015-03-01,1072.81
2015-04-01,1095.69
2015-05-01,1121.09
2015-06-01,1073.9
2015-07-01,1049.57
2015-08-01,1025.25
2015-09-01,949.53
2015-10-01,1003.64
2015-11-01,989.67
2015-12-01,1005.88
2016-01-01,1094.41
2016-02-01,1156.16
2016-03-01,1149.41
2016-04-01,1157.05
2016-05-01,1160.21
2016-06-01,1188.13
2016-07-01,1064.91
2016-08-01,1022.47
2016-09-01,1023.25
2016-10-01,1021.01
2016-11-01,1075.93
2016-12-01,1055.57
2017-01-01,1134.49
2017-02-01,1130.52
2017-03-01,1207.19
2017-04-01,1182.59
2017-05-01,1180.22
2017-06-01,1205.27
2017-07-01,1095.22
2017-08-01,1092.12
2017-09-01,1040.67
2017-10-01,1037.83
2017-11-01,1098.5
2017-12-01,1114.75
2018-01-01,1114.87
2018-02-01,1176.45
2018-03-01,1179.94
2018-04-01,1176.18
2018-05-01,1228.43
2018-06-01,1233.39
2018-07-01,1177.99
2018-08-01,1182.75
2018-09-01,1098.65
2018-10-01,1102.16
2018-11-01,1140.03
2018-12-01,1174.09
2019-01-01,1154.21
2019-02-01,1193.62
2019-03-01,1278.4
2019-04-01,1268.88
2019-05-01,1237.68
2019-06-01,1250.54
2019-07-01,1185.04
2019-08-01,1143.56
2019-09-01,1097.24
2019-10-01,1117.8
2019-11-01,1143.88
2019-12-01,1185.5
2020-01-01,1189.78
2020-02-01,1276.93
2020-03-01,1314.82
2020-04-01,1284.46
2020-05-01,1304.04
2020-06-01,1246.17
2020-07-01,1196.63
2020-08-01,1197.81
2020-09-01,1190.74
2020-10-01,1158.77
2020-11-01,1131.31
2020-12-01,1180.87
2021-01-01,1277.2
2021-02-01,1281.41
2021-03-01,1379.33
2021-04-01,1313.12
2021-05-01,1307.77
2021-06-01,1286.4
2021-07-01,1267.31
2021-08-01,1224.55
2021-09-01,1222.81
2021-10-01,1232.54
2021-11-01,1168.47
2021-12-01,1210.86
2022-01-01,1278.29
2022-02-01,1354.23
2022-03-01,1332.65
2022-04-01,1408.23
2022-05-01,1381.74
2022-06-01,1309.74
2022-07-01,1327.35
2022-08-01,1257.39
2022-09-01,1209.03
2022-10-01,1266.47
2022-11-01,1231.16
2022-12-01,1254.62
2023-01-01,1345.19
2023-02-01,1345.87
2023-03-01,1374.5
2023-04-01,1403.43
2023-05-01,1392.82
2023-06-01,1379.77
2023-07-01,1343.8
2023-08-01,1314.77
2023-09-01,1323.43
2023-10-01,1259.04
2023-11-01,1304.97
2023-12-01,1297.43
