date,value
2022-01-01,507.39
2022-01-02,506.74
2022-01-03,505.52
2022-01-04,500.04
2022-01-05,490.46
2022-01-06,491.02
2022-01-07,495.89
2022-01-08,491.95
2022-01-09,493.36
2022-01-10,487.01
2022-01-11,487.59
2022-01-12,486.65
2022-01-13,479.82
2022-01-14,471.72
2022-01-15,475.58
2022-01-16,471.95
2022-01-17,474.88
2022-01-18,472.01
2022-01-19,482.88
2022-01-20,482.8
2022-01-21,475.72
2022-01-22,471.64
2022-01-23,477.84
2022-01-24,480.36
2022-01-25,486.18
2022-01-26,484.91
2022-01-27,475.74
2022-01-28,475.8
2022-01-29,479.17
2022-01-30,473.58
2022-01-31,473.45
2022-02-01,470.28
2022-02-02,469.63
2022-02-03,466.23
2022-02-04,461.57
2022-02-05,457.9
2022-02-06,352.7
2022-02-07,441.0
2022-02-08,443.09
2022-02-09,446.71
2022-02-10,443.78
2022-02-11,447.28
2022-02-12,439.47
2022-02-13,438.53
2022-02-14,439.25
2022-02-15,440.42
2022-02-16,447.77
2022-02-17,451.29
2022-02-18,455.41
2022-02-19,460.27
2022-02-20,462.58
2022-02-21,462.43
2022-02-22,463.33
2022-02-23,463.92
2022-02-24,464.93
2022-02-25,458.66
2022-02-26,460.62
2022-02-27,567.28
2022-02-28,449.74
2022-03-01,450.35
2022-03-02,450.99
2022-03-03,458.27
2022-03-04,452.57
2022-03-05,452.76
2022-03-06,445.96
2022-03-07,447.18
2022-03-08,442.17
2022-03-09,449.51
2022-03-10,441.65
2022-03-11,437.97
2022-03-12,435.03
2022-03-13,429.61
2022-03-14,421.84
2022-03-15,417.12
2022-03-16,416.28
2022-03-17,407.18
2022-03-18,411.62
2022-03-19,411.89
2022-03-20,410.31
2022-03-21,404.4
2022-03-22,402.25
2022-03-23,406.61
2022-03-24,405.11
2022-03-25,399.87
2022-03-26,399.14
2022-03-27,413.84
2022-03-28,417.36
2022-03-29,421.51
2022-03-30,419.44
2022-03-31,419.07
2022-04-01,415.13
2022-04-02,415.96
2022-04-03,412.38
2022-04-04,409.07
2022-04-05,411.28
2022-04-06,418.32
2022-04-07,418.7
2022-04-08,354.02
2022-04-09,420.69
2022-04-10,426.53
2022-04-11,428.08
2022-04-12,435.42
2022-04-13,432.14
2022-04-14,435.02
2022-04-15,433.43
2022-04-16,431.08
2022-04-17,431.38
2022-04-18,430.13
2022-04-19,431.23
2022-04-20,432.0
2022-04-21,432.68
2022-04-22,432.79
2022-04-23,423.05
2022-04-24,422.84
2022-04-25,423.61
2022-04-26,422.81
2022-04-27,429.15
2022-04-28,435.42
2022-04-29,439.52
2022-04-30,437.83
2022-05-01,440.53
2022-05-02,443.38
2022-05-03,442.23
2022-05-04,442.91
2022-05-05,444.36
2022-05-06,445.06
2022-05-07,443.05
2022-05-08,442.33
2022-05-09,443.91
2022-05-10,446.32
2022-05-11,449.01
2022-05-12,454.79
2022-05-13,446.95
2022-05-14,339.28
2022-05-15,439.24
2022-05-16,438.49
2022-05-17,442.83
2022-05-18,440.89
2022-05-19,451.5
2022-05-20,447.23
2022-05-21,442.66
2022-05-22,454.04
2022-05-23,454.33
2022-05-24,448.44
2022-05-25,445.54
2022-05-26,450.49
2022-05-27,462.35
2022-05-28,459.37
2022-05-29,458.48
2022-05-30,465.16
2022-05-31,464.25
2022-06-01,461.47
2022-06-02,465.57
2022-06-03,465.92
2022-06-04,468.27
2022-06-05,466.9
2022-06-06,464.13
2022-06-07,469.55
2022-06-08,478.07
2022-06-09,468.65
2022-06-10,469.49
2022-06-11,473.37
2022-06-12,482.91
2022-06-13,478.32
2022-06-14,473.5
2022-06-15,477.75
2022-06-16,574.97
2022-06-17,469.04
2022-06-18,472.85
2022-06-19,471.93
2022-06-20,470.52
2022-06-21,467.8
2022-06-22,476.24
2022-06-23,472.91
2022-06-24,473.08
2022-06-25,482.35
2022-06-26,485.21
2022-06-27,477.94
2022-06-28,595.14
2022-06-29,469.59
2022-06-30,463.69
2022-07-01,464.94
2022-07-02,461.91
2022-07-03,454.23
2022-07-04,453.56
2022-07-05,447.69
2022-07-06,443.97
2022-07-07,444.11
2022-07-08,443.25
2022-07-09,437.29
2022-07-10,439.3
2022-07-11,443.76
2022-07-12,450.5
2022-07-13,442.38
2022-07-14,443.1
2022-07-15,444.26
2022-07-16,434.84
2022-07-17,435.86
2022-07-18,434.34
2022-07-19,436.69
2022-07-20,434.67
2022-07-21,434.59
2022-07-22,422.95
2022-07-23,418.74
2022-07-24,421.53
2022-07-25,420.9
2022-07-26,417.5
2022-07-27,414.62
2022-07-28,416.26
2022-07-29,413.79
2022-07-30,413.21
2022-07-31,417.33
2022-08-01,416.12
2022-08-02,417.98
2022-08-03,419.77
2022-08-04,420.86
2022-08-05,417.39
2022-08-06,419.6
2022-08-07,418.1
2022-08-08,417.06
2022-08-09,415.86
2022-08-10,416.14
2022-08-11,407.89
2022-08-12,405.49
2022-08-13,400.22
2022-08-14,388.22
2022-08-15,390.21
2022-08-16,390.14
2022-08-17,398.08
2022-08-18,404.64
2022-08-19,400.06
2022-08-20,398.79
2022-08-21,400.02
2022-08-22,405.13
2022-08-23,466.93
2022-08-24,408.7
2022-08-25,414.3
2022-08-26,421.34
2022-08-27,423.63
2022-08-28,416.75
2022-08-29,420.67
2022-08-30,415.91
2022-08-31,419.25
2022-09-01,416.69
2022-09-02,412.75
2022-09-03,414.87
2022-09-04,416.51
2022-09-05,417.72
2022-09-06,418.09
2022-09-07,420.08
2022-09-08,415.9
2022-09-09,408.48
2022-09-10,412.02
2022-09-11,414.56
2022-09-12,415.46
2022-09-13,407.5
2022-09-14,404.98
2022-09-15,406.94
2022-09-16,407.1
2022-09-17,401.8
2022-09-18,402.21
2022-09-19,408.46
2022-09-20,405.78
2022-09-21,408.29
2022-09-22,405.74
2022-09-23,421.16
2022-09-24,420.68
2022-09-25,423.65
2022-09-26,427.46
2022-09-27,419.39
2022-09-28,425.42
2022-09-29,414.07
2022-09-30,410.62
2022-10-01,412.71
2022-10-02,420.02
2022-10-03,424.26
2022-10-04,305.38
2022-10-05,426.67
2022-10-06,427.2
2022-10-07,431.01
2022-10-08,433.49
2022-10-09,428.27
2022-10-10,419.61
2022-10-11,421.69
2022-10-12,412.38
2022-10-13,411.84
2022-10-14,398.76
2022-10-15,395.97
2022-10-16,387.87
2022-10-17,392.73
2022-10-18,393.18
2022-10-19,389.53
2022-10-20,388.96
2022-10-21,386.96
2022-10-22,391.28
2022-10-23,392.36
2022-10-24,386.43
2022-10-25,388.08
2022-10-26,382.21
2022-10-27,387.87
2022-10-28,389.87
2022-10-29,381.02
2022-10-30,376.69
2022-10-31,373.41
2022-11-01,374.86
2022-11-02,377.49
2022-11-03,383.0
2022-11-04,378.17
2022-11-05,376.43
2022-11-06,370.36
2022-11-07,372.91
2022-11-08,376.74
2022-11-09,374.01
2022-11-10,376.48
2022-11-11,387.14
2022-11-12,389.2
2022-11-13,383.23
2022-11-14,382.53
2022-11-15,387.53
2022-11-16,392.46
2022-11-17,393.93
2022-11-18,395.43
2022-11-19,393.5
2022-11-20,387.67
2022-11-21,385.54
2022-11-22,389.71
2022-11-23,387.41
2022-11-24,386.87
2022-11-25,390.28
2022-11-26,387.83
2022-11-27,386.36
2022-11-28,383.15
2022-11-29,381.59
2022-11-30,374.03
2022-12-01,381.27
2022-12-02,381.75
2022-12-03,384.47
2022-12-04,388.95
2022-12-05,391.13
2022-12-06,397.81
2022-12-07,384.22
2022-12-08,382.59
2022-12-09,384.29
2022-12-10,376.68
2022-12-11,384.61
2022-12-12,384.31
2022-12-13,379.03
2022-12-14,385.09
2022-12-15,379.87
2022-12-16,383.89
2022-12-17,379.78
2022-12-18,386.2
2022-12-19,384.25
2022-12-20,382.53
2022-12-21,377.16
2022-12-22,377.2
2022-12-23,387.03
2022-12-24,382.25
2022-12-25,382.08
2022-12-26,389.91
2022-12-27,378.17
2022-12-28,376.7
2022-12-29,374.17
2022-12-30,385.67
2022-12-31,383.36
