date,demand_gwh,temperature_c,humidity_pct
2021-01-01,366.64,11.5,42.5
2021-01-02,370.07,12.0,65.0
2021-01-03,397.7,10.9,53.7
2021-01-04,331.89,12.9,53.6
2021-01-05,376.48,10.9,57.6
2021-01-06,295.19,15.3,59.0
2021-01-07,438.4,9.8,58.2
2021-01-08,460.91,9.6,57.2
2021-01-09,479.48,8.8,69.5
2021-01-10,356.88,12.0,60.6
2021-01-11,511.97,8.7,49.7
2021-01-12,310.27,13.0,50.6
2021-01-13,455.0,9.0,47.8
2021-01-14,364.45,11.9,62.1
2021-01-15,333.96,14.1,62.8
2021-01-16,476.96,8.4,50.2
2021-01-17,793.63,3.6,63.6
2021-01-18,423.09,10.9,58.4
2021-01-19,394.07,10.7,64.5
2021-01-20,469.13,9.1,64.2
2021-01-21,447.5,9.0,62.3
2021-01-22,412.58,11.1,66.1
2021-01-23,671.89,5.3,69.9
2021-01-24,493.83,8.3,60.5
2021-01-25,367.38,11.8,67.5
2021-01-26,593.19,6.8,64.2
2021-01-27,571.85,7.6,63.6
2021-01-28,539.95,7.3,54.9
2021-01-29,481.19,9.5,58.8
2021-01-30,747.85,3.9,61.7
2021-01-31,618.73,6.2,57.2
2021-02-01,507.35,8.5,57.3
2021-02-02,465.21,9.1,51.2
2021-02-03,739.3,4.0,63.3
2021-02-04,561.68,7.1,59.9
2021-02-05,637.89,5.6,63.7
2021-02-06,625.01,6.6,71.6
2021-02-07,501.66,8.6,61.1
2021-02-08,841.67,2.4,56.4
2021-02-09,818.45,3.5,59.7
2021-02-10,711.83,4.4,71.2
2021-02-11,1034.36,0.7,65.2
2021-02-12,963.26,1.2,67.4
2021-02-13,760.99,4.0,54.2
2021-02-14,661.03,5.5,65.7
2021-02-15,735.98,4.4,78.2
2021-02-16,833.03,3.0,71.5
2021-02-17,794.26,3.8,72.8
2021-02-18,735.99,4.6,64.8
2021-02-19,774.43,4.2,76.9
2021-02-20,1058.28,0.3,78.2
2021-02-21,1065.06,-0.0,58.8
2021-02-22,723.27,4.6,68.7
2021-02-23,1153.86,-0.7,79.3
2021-02-24,726.04,4.4,77.1
2021-02-25,783.12,3.7,61.9
2021-02-26,1004.38,0.8,64.7
2021-02-27,883.41,2.3,68.4
2021-02-28,815.86,3.2,75.2
2021-03-01,979.15,1.1,76.1
2021-03-02,1060.27,0.0,59.6
2021-03-03,825.09,2.8,68.9
2021-03-04,887.28,2.5,75.8
2021-03-05,818.76,3.4,69.3
2021-03-06,1175.47,-1.0,82.3
2021-03-07,953.19,1.6,68.0
2021-03-08,1021.42,0.7,65.0
2021-03-09,847.55,2.6,71.8
2021-03-10,1082.22,-0.1,79.7
2021-03-11,1231.77,-1.7,61.2
2021-03-12,1021.83,0.9,67.7
2021-03-13,1391.74,-3.2,66.9
2021-03-14,1256.2,-2.0,73.8
2021-03-15,1139.48,-0.4,81.1
2021-03-16,905.78,2.1,71.1
2021-03-17,1372.53,-3.2,76.3
2021-03-18,1184.27,-1.4,70.4
2021-03-19,1185.4,-1.4,80.7
2021-03-20,1539.56,-4.6,77.3
2021-03-21,1049.47,0.0,76.9
2021-03-22,1287.74,-2.0,78.2
2021-03-23,1231.79,-1.5,68.8
2021-03-24,1139.86,-0.6,70.8
2021-03-25,1429.03,-3.6,71.7
2021-03-26,1409.75,-3.6,59.0
2021-03-27,964.91,1.5,72.8
2021-03-28,1212.4,-1.4,82.9
2021-03-29,990.63,0.8,72.3
2021-03-30,938.03,1.4,73.3
2021-03-31,1166.83,-0.8,78.3
2021-04-01,1415.5,-3.5,80.3
2021-04-02,902.17,2.1,82.5
2021-04-03,1284.88,-2.1,80.8
2021-04-04,1338.54,-2.8,77.1
2021-04-05,1147.8,-0.9,84.4
2021-04-06,1077.34,-0.0,77.6
2021-04-07,1161.05,-0.7,77.0
2021-04-08,1335.13,-2.6,69.8
2021-04-09,1106.88,-0.0,67.5
2021-04-10,1445.57,-3.4,74.1
2021-04-11,1201.41,-1.1,74.1
2021-04-12,1325.82,-2.4,75.2
2021-04-13,1485.75,-3.8,76.1
2021-04-14,1138.0,-0.6,78.2
2021-04-15,1180.66,-1.0,70.2
2021-04-16,1360.05,-3.0,75.7
2021-04-17,1366.73,-3.1,70.4
2021-04-18,1252.44,-1.7,70.3
2021-04-19,1081.99,-0.0,74.3
2021-04-20,1001.01,0.9,74.5
2021-04-21,1347.63,-2.9,82.2
2021-04-22,1128.36,-0.6,67.5
2021-04-23,1094.98,0.2,78.5
2021-04-24,1509.96,-4.0,77.7
2021-04-25,1267.98,-2.0,69.5
2021-04-26,1575.29,-4.7,63.0
2021-04-27,1287.83,-2.0,75.0
2021-04-28,1119.89,-0.4,81.0
2021-04-29,1172.49,-1.1,67.8
2021-04-30,1047.45,0.2,65.8
2021-05-01,1205.21,-1.4,72.3
2021-05-02,1455.97,-3.8,71.3
2021-05-03,1210.73,-1.6,72.8
2021-05-04,950.03,1.5,70.4
2021-05-05,1466.75,-3.8,65.0
2021-05-06,815.48,3.1,62.5
2021-05-07,1200.22,-1.4,72.1
2021-05-08,1221.97,-1.4,73.6
2021-05-09,1362.93,-2.9,74.2
2021-05-10,927.21,1.9,73.3
2021-05-11,1866.99,-7.3,74.1
2021-05-12,1074.46,0.2,73.3
2021-05-13,888.18,2.2,59.5
2021-05-14,1095.16,-0.4,56.9
2021-05-15,1090.85,-0.0,70.2
2021-05-16,791.63,3.5,63.4
2021-05-17,1368.13,-2.9,77.6
2021-05-18,974.76,1.4,69.5
2021-05-19,1253.99,-1.9,64.7
2021-05-20,1089.77,-0.1,76.3
2021-05-21,866.06,2.6,71.7
2021-05-22,1192.63,-1.3,61.3
2021-05-23,986.41,1.0,74.0
2021-05-24,1228.14,-1.7,68.4
2021-05-25,1061.01,0.3,69.9
2021-05-26,925.29,1.8,72.8
2021-05-27,903.67,1.8,67.3
2021-05-28,1059.44,0.2,65.1
2021-05-29,1018.81,0.7,61.8
2021-05-30,938.89,1.6,68.5
2021-05-31,1022.58,0.7,64.1
2021-06-01,1062.92,0.2,54.5
2021-06-02,606.35,6.0,63.9
2021-06-03,911.83,2.2,59.5
2021-06-04,1032.58,0.1,70.4
2021-06-05,491.2,8.4,71.5
2021-06-06,795.52,3.8,63.5
2021-06-07,948.56,1.5,67.8
2021-06-08,810.67,3.0,58.6
2021-06-09,895.57,1.9,68.1
2021-06-10,672.79,5.4,57.8
2021-06-11,648.09,5.6,65.4
2021-06-12,1087.12,-0.1,49.8
2021-06-13,973.13,1.1,55.2
2021-06-14,769.97,3.8,60.8
2021-06-15,919.23,1.9,61.1
2021-06-16,780.34,3.6,63.2
2021-06-17,769.86,3.9,54.1
2021-06-18,582.38,6.9,53.1
2021-06-19,558.1,7.3,65.0
2021-06-20,598.0,6.6,59.9
2021-06-21,858.76,2.8,58.0
2021-06-22,730.15,4.5,60.3
2021-06-23,761.6,4.0,59.6
2021-06-24,636.59,5.7,57.8
2021-06-25,599.7,5.8,52.8
2021-06-26,673.32,5.4,55.7
2021-06-27,530.38,7.6,60.7
2021-06-28,595.26,6.7,60.7
2021-06-29,710.14,4.9,51.4
2021-06-30,525.59,7.8,50.0
2021-07-01,583.24,7.0,48.3
2021-07-02,521.27,7.6,47.2
2021-07-03,506.01,8.3,58.7
2021-07-04,551.34,6.9,62.0
2021-07-05,421.12,9.4,55.2
2021-07-06,597.51,6.6,57.9
2021-07-07,343.63,12.8,50.1
2021-07-08,424.32,10.2,52.6
2021-07-09,385.02,10.6,51.7
2021-07-10,596.71,6.9,63.3
2021-07-11,441.26,9.4,54.4
2021-07-12,575.11,7.0,51.8
2021-07-13,562.88,7.5,52.5
2021-07-14,372.57,10.7,42.2
2021-07-15,316.9,12.9,51.7
2021-07-16,392.08,10.6,45.7
2021-07-17,375.0,11.3,59.9
2021-07-18,471.39,8.5,45.3
2021-07-19,619.98,6.0,47.6
2021-07-20,326.45,14.4,50.6
2021-07-21,509.96,8.2,58.5
2021-07-22,473.97,9.6,52.3
2021-07-23,395.72,11.1,42.0
2021-07-24,554.67,7.4,57.1
2021-07-25,535.64,8.3,54.7
2021-07-26,366.97,11.8,40.4
2021-07-27,427.8,9.8,41.5
2021-07-28,331.8,11.6,45.2
2021-07-29,284.08,13.8,45.4
2021-07-30,325.24,12.8,34.5
2021-07-31,344.88,12.6,45.5
2021-08-01,324.51,13.6,52.4
2021-08-02,461.23,9.5,34.3
2021-08-03,343.66,12.4,41.3
2021-08-04,290.57,17.9,51.8
2021-08-05,278.9,16.0,46.2
2021-08-06,320.45,13.4,46.6
2021-08-07,395.94,10.7,51.1
2021-08-08,317.13,13.5,38.9
2021-08-09,248.49,15.4,40.4
2021-08-10,369.18,12.6,44.7
2021-08-11,268.37,18.3,39.4
2021-08-12,302.97,13.2,40.8
2021-08-13,268.3,14.5,30.3
2021-08-14,285.57,15.1,45.3
2021-08-15,266.23,16.5,36.6
2021-08-16,280.82,15.3,41.7
2021-08-17,267.52,21.4,45.3
2021-08-18,346.44,13.0,42.7
2021-08-19,252.61,17.5,43.1
2021-08-20,243.12,17.6,33.4
2021-08-21,286.45,13.9,33.3
2021-08-22,278.63,15.8,40.0
2021-08-23,278.59,14.8,42.3
2021-08-24,280.65,14.9,37.0
2021-08-25,276.8,17.5,36.4
2021-08-26,274.79,20.0,36.0
2021-08-27,272.13,16.0,36.7
2021-08-28,259.97,18.6,29.6
2021-08-29,254.33,17.3,32.0
2021-08-30,296.72,14.8,42.1
2021-08-31,271.89,17.2,32.7
2021-09-01,255.21,17.9,36.4
2021-09-02,344.4,23.1,27.9
2021-09-03,241.02,18.9,39.8
2021-09-04,258.14,18.1,45.9
2021-09-05,264.56,19.7,35.9
2021-09-06,293.44,21.0,30.2
2021-09-07,264.66,19.2,37.2
2021-09-08,275.89,20.5,35.6
2021-09-09,276.21,14.3,43.3
2021-09-10,264.05,17.7,40.6
2021-09-11,255.98,17.6,39.9
2021-09-12,270.49,19.4,36.0
2021-09-13,269.06,19.8,45.9
2021-09-14,265.34,20.6,29.6
2021-09-15,293.88,19.8,26.4
2021-09-16,271.29,20.3,38.3
2021-09-17,275.89,19.4,31.3
2021-09-18,276.56,21.5,41.4
2021-09-19,235.63,19.9,22.2
2021-09-20,255.65,17.4,22.7
2021-09-21,305.29,22.4,41.5
2021-09-22,294.55,19.9,44.9
2021-09-23,318.78,22.8,35.9
2021-09-24,278.89,20.6,40.4
2021-09-25,255.42,20.3,37.1
2021-09-26,286.03,20.1,32.2
2021-09-27,256.02,17.7,36.7
2021-09-28,319.09,22.4,35.6
2021-09-29,366.04,25.5,24.8
2021-09-30,257.12,20.1,30.0
2021-10-01,319.3,21.7,35.9
2021-10-02,282.18,20.8,37.2
2021-10-03,270.09,19.0,40.6
2021-10-04,285.86,19.2,36.9
2021-10-05,320.56,23.2,32.9
2021-10-06,323.97,23.0,33.2
2021-10-07,287.16,20.2,36.4
2021-10-08,351.43,23.4,38.8
2021-10-09,280.07,20.5,39.5
2021-10-10,284.95,20.2,34.2
2021-10-11,266.83,20.5,31.1
2021-10-12,375.29,24.4,42.8
2021-10-13,315.24,22.8,29.9
2021-10-14,309.37,20.7,43.2
2021-10-15,349.98,23.9,39.3
2021-10-16,328.94,23.2,50.1
